Effective Date,Approved,Update Comment,Varh,Whe,Whr,Tipo,Modified On,Modified By,Approved On,Approved By,Created On,Created By
01/01/2025 100 CST.MX,true, ,0,"44,757.06",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 200 CST.MX,true, ,0,"43,918.30",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 300 CST.MX,true, ,0,"43,951.26",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 400 CST.MX,true, ,0,"44,030.05",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 500 CST.MX,true, ,0,"44,232.18",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 600 CST.MX,true, ,0,"44,415.51",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 700 CST.MX,true, ,0,"44,831.88",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 800 CST.MX,true, ,0,"44,088.26",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 900 CST.MX,true, ,0,"41,408.01",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 1000 CST.MX,true, ,0,"41,554.42",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 1100 CST.MX,true, ,0,"46,590.24",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 1200 CST.MX,true, ,3.322,"52,907.64",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 1300 CST.MX,true, ,0,"52,286.66",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 1400 CST.MX,true, ,2.612,"51,135.63",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 1500 CST.MX,true, ,1.893,"53,931.41",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 1600 CST.MX,true, ,0,"54,515.55",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 1700 CST.MX,true, ,0,"54,974.21",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 1800 CST.MX,true, ,0,"51,483.69",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 1900 CST.MX,true, ,2.446,"52,885.24",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 2000 CST.MX,true, ,0,"51,842.05",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 2100 CST.MX,true, ,355.509,"51,985.06",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 2200 CST.MX,true, ,0.766,"66,981.95",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 2300 CST.MX,true, ,5.915,"67,927.51",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
01/01/2025 2400 CST.MX,true, ,5.68,"67,565.63",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 100 CST.MX,true, ,4.82,"66,866.71",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 200 CST.MX,true, ,4.86,"65,724.23",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 300 CST.MX,true, ,2.149,"65,731.45",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 400 CST.MX,true, ,3.013,"66,154.35",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 500 CST.MX,true, ,2.798,"65,387.60",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 600 CST.MX,true, ,187.083,"77,972.53",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 700 CST.MX,true, ,"11,221.88","132,876.48",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 800 CST.MX,true, ,"47,174.58","244,509.20",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 900 CST.MX,true, ,"144,154.85","336,940.10",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 1000 CST.MX,true, ,"342,873.36","696,625.41",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 1100 CST.MX,true, ,"288,603.72","645,343.81",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 1200 CST.MX,true, ,"214,782.54","622,367.63",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 1300 CST.MX,true, ,"293,980.23","642,881.77",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 1400 CST.MX,true, ,"250,822.96","635,916.83",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 1500 CST.MX,true, ,"257,237.81","689,583.64",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 1600 CST.MX,true, ,"235,559.40","613,191.13",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 1700 CST.MX,true, ,"359,640.34","799,800.50",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 1800 CST.MX,true, ,"373,697.89","793,712.96",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 1900 CST.MX,true, ,"311,323.19","703,483.62",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 2000 CST.MX,true, ,"350,268.18","775,079.77",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 2100 CST.MX,true, ,"310,048.74","695,202.65",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 2200 CST.MX,true, ,"348,808.08","799,858.04",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 2300 CST.MX,true, ,"326,977.97","738,404.98",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
02/01/2025 2400 CST.MX,true, ,"299,309.66","750,768.43",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 100 CST.MX,true, ,"300,629.22","710,905.57",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 200 CST.MX,true, ,"357,283.99","783,007.48",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 300 CST.MX,true, ,"289,860.86","752,307.43",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 400 CST.MX,true, ,"244,323.24","665,673.91",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 500 CST.MX,true, ,"256,720.33","662,971.70",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 600 CST.MX,true, ,"285,059.77","659,072.51",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 700 CST.MX,true, ,"189,717.65","619,104.39",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 800 CST.MX,true, ,"301,505.36","703,589.56",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 900 CST.MX,true, ,"283,860.90","693,123.93",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 1000 CST.MX,true, ,"411,060.45","841,751.39",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 1100 CST.MX,true, ,"404,245.05","915,724.02",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 1200 CST.MX,true, ,"315,191.47","761,233.43",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 1300 CST.MX,true, ,"388,941.51","838,574.17",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 1400 CST.MX,true, ,"355,936.80","837,313.70",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 1500 CST.MX,true, ,"304,360.96","766,166.21",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 1600 CST.MX,true, ,"352,424.75","857,377.83",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 1700 CST.MX,true, ,"377,448.56","891,008.44",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 1800 CST.MX,true, ,"246,449.80","679,111.75",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 1900 CST.MX,true, ,"346,028.44","755,901.10",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 2000 CST.MX,true, ,"375,260.42","780,619.80",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 2100 CST.MX,true, ,"342,726.88","770,448.38",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 2200 CST.MX,true, ,"288,320.23","672,768.20",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 2300 CST.MX,true, ,"391,661.27","838,778.45",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
03/01/2025 2400 CST.MX,true, ,"356,856.80","795,701.15",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
04/01/2025 100 CST.MX,true, ,"256,025.42","660,530.00",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
04/01/2025 200 CST.MX,true, ,"395,492.06","779,236.80",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
04/01/2025 300 CST.MX,true, ,"333,022.67","713,126.43",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
04/01/2025 400 CST.MX,true, ,"272,875.86","693,772.14",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
04/01/2025 500 CST.MX,true, ,"253,348.73","634,223.25",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
04/01/2025 600 CST.MX,true, ,"283,139.95","698,830.08",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
04/01/2025 700 CST.MX,true, ,"278,600.01","681,172.93",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
04/01/2025 800 CST.MX,true, ,"61,648.58","348,135.71",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
04/01/2025 900 CST.MX,true, ,"48,860.44","254,296.91",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
04/01/2025 1000 CST.MX,true, ,"58,636.66","239,745.90",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
04/01/2025 1100 CST.MX,true, ,"70,310.04","237,777.94",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
04/01/2025 1200 CST.MX,true, ,"48,362.87","242,589.14",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
04/01/2025 1300 CST.MX,true, ,"75,912.76","245,548.43",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
04/01/2025 1400 CST.MX,true, ,"78,674.54","279,653.30",0,R,04/02/2025 10:44:31.000 AM CST,background,04/02/2025 10:44:31 AM CST,background,04/02/2025 10:44:31.000 AM CST,background
